# Directional BHSA apposition: head -> appositive (candidate IS-A / narrowing evidence). See build_hierarchy_relations.py.
head_strong	appositive_strong	count
H2945	H7998	1
H0929	H3605	1
H0929	H7998	1
H3605	H7998	1
H6440	H1060	1
H8130	H1060	1
H1060	H1121	1
H1060	H8130	1
H8441	H0430	1
H0776	H8179	1
H8141	H4643	1
H7992	H8141	1
H7992	H4643	1
H0929	H7698	1
H0929	H0505	1
H0929	H6251	1
H0929	H6629	1
H0214	H8064	1
H2896	H8064	1
H0127	H7698	1
H0127	H0505	1
H0127	H6251	1
H0127	H6629	1
H6529	H1320	1
H6529	H1121	1
H6529	H1323	1
H0990	H1320	1
H0990	H1121	1
H0990	H1323	1
H5971	H2945	1
H5971	H1616	1
H0430	H2319	1
H0310	H5650	1
H4194	H5650	1
H4057	H3605	1
H4057	H2850	1
H5104	H3605	1
H5104	H0776	1
H5104	H2850	1
H1419	H3605	1
H1419	H0776	1
H1419	H2850	1
H3220	H3996	1
H3220	H8121	1
H1419	H3996	1
H1419	H8121	1
H0251	H1368	1
H0251	H2428	1
H5676	H4217	1
H5676	H8121	1
H3548	H5715	1
H1471	H0376	1
H1471	H4421	1
H4428	H1368	1
H4428	H2428	1
H3548	H8628	1
H3548	H7782	1
H5288	H7270	1
H5971	H4264	1
H8510	H8077	1
H5769	H8077	1
H8451	H1293	1
H8451	H7045	1
H3605	H3427	1
H4428	H3427	1
H4428	H2022	1
H0567	H3427	1
H0567	H2022	1
H3605	H5045	1
H3605	H8219	1
H3605	H0794	1
H0776	H2022	1
H0776	H5045	1
H0776	H8219	1
H0776	H0794	1
H1115	H3427	1
H2340	H3427	1
H1366	H4428	1
H2568	H5841	1
H2568	H0796	1
H2568	H0832	1
H2568	H1663	1
H2568	H6139	1
H5633	H5841	1
H5633	H0796	1
H5633	H0832	1
H5633	H1663	1
H5633	H6139	1
H6430	H5841	1
H6430	H0796	1
H6430	H0832	1
H6430	H1663	1
H6430	H6139	1
H5257	H3427	1
H5257	H0776	1
H4294	H1121	1
H1060	H0001	1
H6440	H1121	1
H7523	H5221	1
H7523	H5315	1
H4940	H3878	1
H4940	H3498	1
H1121	H3878	1
H1121	H3498	1
H0776	H0272	1
H0905	H0430	1
H3499	H7604	1
H1285	H0430	1
H1167	H0567	1
H1167	H6522	1
H1167	H3669	1
H1167	H2850	1
H1167	H1622	1
H1167	H2340	1
H1167	H2983	1
H7017	H2859	1
H3027	H5104	1
H1121	H0334	1
H1121	H3027	1
H1121	H3225	1
H3228	H0376	1
H3228	H0334	1
H3228	H3027	1
H3228	H3225	1
H7393	H8672	1
H7393	H3967	1
H7393	H1270	1
H0996	H4428	1
H6666	H6520	1
H0376	H5030	1
H2719	H1121	1
H2719	H0376	1
H7045	H1121	1
H0341	H1121	1
H6430	H6189	1
H2568	H0376	1
H5288	H1004	1
H5971	H7626	1
H0376	H0802	1
H0376	H7523	1
